[DEBUG]:[2013-08-29 22:03:22.095]:[11896]:[0]:[log_utils.py <module> 152]:debug
[INFO]:[2013-08-29 22:03:22.099]:[11896]:[0]:[log_utils.py <module> 153]:info
[INFO]:[2013-08-29 22:03:22.099]:[11896]:[0]:[log_utils.py <module> 153]:info
[WARNING]:[2013-08-29 22:03:22.101]:[11896]:[0]:[log_utils.py <module> 154]:warning
[WARNING]:[2013-08-29 22:03:22.101]:[11896]:[0]:[log_utils.py <module> 154]:warning
[WARNING]:[2013-08-29 22:03:22.101]:[11896]:[0]:[log_utils.py <module> 154]:warning
[ERROR]:[2013-08-29 22:03:22.105]:[11896]:[0]:[log_utils.py <module> 155]:error
[ERROR]:[2013-08-29 22:03:22.105]:[11896]:[0]:[log_utils.py <module> 155]:error
[ERROR]:[2013-08-29 22:03:22.105]:[11896]:[0]:[log_utils.py <module> 155]:error
[ERROR]:[2013-08-29 22:03:22.105]:[11896]:[0]:[log_utils.py <module> 155]:error
[CRITICAL]:[2013-08-29 22:03:22.107]:[11896]:[0]:[log_utils.py <module> 156]:crit
[CRITICAL]:[2013-08-29 22:03:22.107]:[11896]:[0]:[log_utils.py <module> 156]:crit
[CRITICAL]:[2013-08-29 22:03:22.107]:[11896]:[0]:[log_utils.py <module> 156]:crit
[CRITICAL]:[2013-08-29 22:03:22.107]:[11896]:[0]:[log_utils.py <module> 156]:crit
[CRITICAL]:[2013-08-29 22:03:22.107]:[11896]:[0]:[log_utils.py <module> 156]:crit
