[DEBUG]:[19:03:45.134]:[21684]:[0]:[log_utils.py <module> 149]:debug
[INFO]:[19:03:45.135]:[21684]:[0]:[log_utils.py <module> 150]:info
[WARNING]:[19:03:45.135]:[21684]:[0]:[log_utils.py <module> 151]:warning
[ERROR]:[19:03:45.135]:[21684]:[0]:[log_utils.py <module> 152]:error
[CRITICAL]:[19:03:45.135]:[21684]:[0]:[log_utils.py <module> 153]:crit
[DEBUG]:[19:05:37.427]:[21968]:[0]:[log_utils.py <module> 150]:debug
[INFO]:[19:05:37.427]:[21968]:[0]:[log_utils.py <module> 151]:info
[WARNING]:[19:05:37.427]:[21968]:[0]:[log_utils.py <module> 152]:warning
[ERROR]:[19:05:37.427]:[21968]:[0]:[log_utils.py <module> 153]:error
[CRITICAL]:[19:05:37.427]:[21968]:[0]:[log_utils.py <module> 154]:crit
[DEBUG]:[19:09:47.404]:[16692]:[0]:[log_utils.py <module> 151]:debug
[INFO]:[19:09:47.404]:[16692]:[0]:[log_utils.py <module> 152]:info
[WARNING]:[19:09:47.404]:[16692]:[0]:[log_utils.py <module> 153]:warning
[ERROR]:[19:09:47.404]:[16692]:[0]:[log_utils.py <module> 154]:error
[CRITICAL]:[19:09:47.404]:[16692]:[0]:[log_utils.py <module> 155]:crit
[DEBUG]:[2013-08-29 19:11:07.025]:[22424]:[0]:[log_utils.py <module> 151]:debug
[INFO]:[2013-08-29 19:11:07.025]:[22424]:[0]:[log_utils.py <module> 152]:info
[WARNING]:[2013-08-29 19:11:07.025]:[22424]:[0]:[log_utils.py <module> 153]:warning
[ERROR]:[2013-08-29 19:11:07.025]:[22424]:[0]:[log_utils.py <module> 154]:error
[CRITICAL]:[2013-08-29 19:11:07.026]:[22424]:[0]:[log_utils.py <module> 155]:crit
[DEBUG]:[2013-08-29 19:14:23.974]:[12736]:[0]:[log_utils.py <module> 151]:debug
[INFO]:[2013-08-29 19:14:23.976]:[12736]:[0]:[log_utils.py <module> 152]:info
[WARNING]:[2013-08-29 19:14:23.976]:[12736]:[0]:[log_utils.py <module> 153]:warning
[ERROR]:[2013-08-29 19:14:23.976]:[12736]:[0]:[log_utils.py <module> 154]:error
[CRITICAL]:[2013-08-29 19:14:23.976]:[12736]:[0]:[log_utils.py <module> 155]:crit
[INFO]:[2013-08-29 19:14:23.976]:[12736]:[0]:[log_utils.py <module> 158]:asdfasdfasfdasdfasdf
[INFO]:[2013-08-29 19:14:25.976]:[12736]:[0]:[log_utils.py <module> 158]:asdfasdfasfdasdfasdf
[INFO]:[2013-08-29 19:14:27.976]:[12736]:[0]:[log_utils.py <module> 158]:asdfasdfasfdasdfasdf
[INFO]:[2013-08-29 19:14:29.976]:[12736]:[0]:[log_utils.py <module> 158]:asdfasdfasfdasdfasdf
[INFO]:[2013-08-29 19:14:31.976]:[12736]:[0]:[log_utils.py <module> 158]:asdfasdfasfdasdfasdf
[DEBUG]:[2013-08-29 19:14:45.858]:[21768]:[0]:[log_utils.py <module> 152]:debug
[INFO]:[2013-08-29 19:14:45.858]:[21768]:[0]:[log_utils.py <module> 153]:info
[WARNING]:[2013-08-29 19:14:45.858]:[21768]:[0]:[log_utils.py <module> 154]:warning
[ERROR]:[2013-08-29 19:14:45.858]:[21768]:[0]:[log_utils.py <module> 155]:error
[CRITICAL]:[2013-08-29 19:14:45.858]:[21768]:[0]:[log_utils.py <module> 156]:crit
[INFO]:[2013-08-29 19:14:45.858]:[21768]:[0]:[log_utils.py <module> 159]:asdfasdfasfdasdfasdf
[INFO]:[2013-08-29 19:14:47.861]:[21768]:[0]:[log_utils.py <module> 159]:asdfasdfasfdasdfasdf
[INFO]:[2013-08-29 19:14:49.861]:[21768]:[0]:[log_utils.py <module> 159]:asdfasdfasfdasdfasdf
[INFO]:[2013-08-29 19:14:51.861]:[21768]:[0]:[log_utils.py <module> 159]:asdfasdfasfdasdfasdf
[INFO]:[2013-08-29 19:14:53.861]:[21768]:[0]:[log_utils.py <module> 159]:asdfasdfasfdasdfasdf
[INFO]:[2013-08-29 19:14:55.861]:[21768]:[0]:[log_utils.py <module> 159]:asdfasdfasfdasdfasdf
[INFO]:[2013-08-29 19:14:57.862]:[21768]:[0]:[log_utils.py <module> 159]:asdfasdfasfdasdfasdf
[INFO]:[2013-08-29 19:14:59.862]:[21768]:[0]:[log_utils.py <module> 159]:asdfasdfasfdasdfasdf
[INFO]:[2013-08-29 19:15:01.862]:[21768]:[0]:[log_utils.py <module> 159]:asdfasdfasfdasdfasdf
